,Age,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Injury,Days,Games missed,Position_DF,Position_FW,Position_MF,PreferredFoot_ Both,PreferredFoot_ Left,PreferredFoot_ Right
0,17,4,-0.5217391304347826,-0.375,-0.3181331110846529,14.2,,-0.25,,,0.0,0.0,1,0.0,,,-0.7916666666666665,-0.6891041899157959,,-0.17757009345794392,-0.1875,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.2714417616594907,0.0,0.2714417616594907,0.2714417616594907,0.2714417616594907,1,3.878787878787879,3.6666666666666665,1,0,0,0,0,1
1,18,17,-0.6956521739130435,-0.4583333333333333,-0.4538635551851411,11.0,,-0.25,,,0.0,0.0,0,0.0,,,-0.7499999999999998,-0.6891041899157959,0.4252903702829902,-0.06542056074766354,-0.15865384615384615,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.2714417616594907,0.2154434690031884,0.3107232505953859,0.2714417616594907,0.3107232505953859,1,2.3333333333333335,3.1666666666666665,1,0,0,0,0,1
2,19,9,-0.08695652173913043,0.16666666666666666,0.18145017263959995,12.9,,-0.25,,,0.0,0.0,3,0.0,,,-0.26279904306220087,-0.16954110446045123,0.7272363035371391,0.616822429906542,-0.1971153846153846,-0.20454545454545456,,0.2924017738212866,-0.225,0.2924017738212866,0.36604963864841905,0.3417632171052573,0.4464104931389641,0.36436357662197083,0.4453113506739442,0,0.0,0.0,1,0,0,0,0,1
3,19,10,-0.08695652173913043,0.16666666666666666,0.18145017263959995,12.9,,-0.25,,,0.0,0.0,3,0.0,,,-0.26279904306220087,-0.16954110446045123,0.7272363035371391,0.616822429906542,-0.1971153846153846,-0.20454545454545456,,0.2924017738212866,-0.225,0.2924017738212866,0.36604963864841905,0.3417632171052573,0.4464104931389641,0.36436357662197083,0.4453113506739442,0,0.0,0.0,1,0,0,0,0,1
4,20,2,0.34782608695652173,0.5833333333333334,0.6167400881057269,36.0,,-0.25,,,0.0,0.0,5,0.0,,,-0.6249999999999999,-0.37105610226235164,0.8679443048309424,1.6822429906542056,-0.09134615384615384,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.3684031498640387,0.2154434690031884,0.3914867641168864,0.3684031498640387,0.3914867641168864,0,0.0,0.0,1,0,0,0,0,1
5,21,2,-0.043478260869565216,0.20833333333333334,0.22383617097273484,26.8,0.0,0.0,,0.0,0.0,0.0,4,0.0,,,-0.29166666666666663,-0.37105610226235164,,0.5514018691588785,-0.20673076923076922,0.0,,0.4791419857062784,0.0,0.4791419857062784,0.3107232505953859,0.3419951893353394,0.4308869380063768,0.3107232505953859,0.4308869380063768,1,3.242424242424242,2.6666666666666665,1,0,0,0,0,1
6,22,1,-0.6521739130434783,-0.375,-0.3690915585188713,13.0,,0.0,,,0.0,0.0,0,0.0,,,-0.7499999999999998,-0.6007574989009503,,0.14953271028037382,-0.20673076923076922,0.045454545454545435,0.5108729549290355,0.5313292845913056,0.049999999999999975,0.5313292845913056,0.3914867641168864,0.2154434690031884,0.3914867641168864,0.3914867641168864,0.3914867641168864,1,0.30303030303030304,0.0,1,0,0,0,0,1
7,17,11,-1.173913043478261,-0.9166666666666666,-0.9258245029170139,0.0,,-0.25,,,0.0,0.0,0,0.0,,,-0.26279904306220087,-0.3285651482871733,,-0.37383177570093457,-0.22596153846153846,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.3873004314689294,0.4305946713107052,0.5166693497076101,0.38427854203503925,0.5150271015886777,0,0.0,0.0,1,0,0,0,0,1
8,18,5,0.0,-0.20833333333333334,-0.15954280271460888,8.95,,-0.25,,,0.0,0.0,2,0.0,,,-0.22113237639553415,-0.275557133678266,0.3375531905895819,-0.037383177570093455,-0.16826923076923078,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.32411307492688357,0.3554748925426564,0.42901473079143765,0.3219580650275485,0.4278242722269758,0,0.0,0.0,1,0,0,0,0,1
9,18,13,0.0,-0.20833333333333334,-0.15954280271460888,8.95,,-0.25,,,0.0,0.0,2,0.0,,,-0.22113237639553415,-0.275557133678266,0.3375531905895819,-0.037383177570093455,-0.16826923076923078,-0.31818181818181823,,0.0,-0.35000000000000003,0.0,0.32411307492688357,0.3554748925426564,0.42901473079143765,0.3219580650275485,0.4278242722269758,0,0.0,0.0,1,0,0,0,0,1
