Name,Season,Injury,from,until,Days,Games missed
Ederson,20/21,Virus,"Dec 27, 2020","Jan 12, 2021",16 days,3
Ederson,19/20,Ill,"Dec 30, 2019","Jan 7, 2020",8 days,3
Ederson,19/20,Ill,"Dec 8, 2019","Dec 14, 2019",6 days,1
Ederson,19/20,muscular problems,"Nov 6, 2019","Nov 22, 2019",16 days,4
Ederson,17/18,Facial injury,"Sep 10, 2017","Sep 12, 2017",2 days,-
Ederson,16/17,Meniscus injury,"Jul 11, 2016","Aug 9, 2016",29 days,1
Stefan Ortega,21/22,Corona virus,"Dec 17, 2021","Dec 31, 2021",14 days,1
Stefan Ortega,19/20,influenza,"Feb 13, 2020","Feb 20, 2020",7 days,1
Stefan Ortega,18/19,Internal ligament strain,"Oct 23, 2018","Nov 19, 2018",27 days,4
Zack Steffen,22/23,Knee surgery,"Jun 1, 2023",-,181 days,36
Zack Steffen,22/23,Knee problems,"Aug 26, 2022","Sep 18, 2022",23 days,5
Zack Steffen,21/22,Corona virus,"Sep 4, 2021","Sep 20, 2021",16 days,5
Zack Steffen,20/21,Bone bruise,"Jun 8, 2021","Jul 8, 2021",30 days,1
Zack Steffen,19/20,Inner ligament injury,"Apr 27, 2020","Sep 20, 2020",146 days,12
Zack Steffen,19/20,Fitness,"Mar 29, 2020","Apr 20, 2020",22 days,-
Zack Steffen,19/20,Patellar tendon problems,"Jan 17, 2020","Mar 29, 2020",72 days,11
Zack Steffen,18/19,Foot injury,"May 11, 2019","May 22, 2019",11 days,2
Zack Steffen,18/19,Knee problems,"Mar 17, 2019","Mar 29, 2019",12 days,3
Zack Steffen,17/18,Knee injury,"Jun 21, 2018","Jul 5, 2018",14 days,2
Scott Carson,20/21,Virus,"Jan 6, 2021","Mar 14, 2021",67 days,20
Rúben Dias,22/23,Hamstring injury,"Dec 22, 2022","Jan 15, 2023",24 days,7
Rúben Dias,21/22,Knock,"Mar 3, 2022","Apr 11, 2022",39 days,9
Rúben Dias,17/18,Ankle injury,"Mar 19, 2018","Mar 29, 2018",10 days,3
Rúben Dias,17/18,Appendectomy,"Nov 16, 2017","Dec 14, 2017",28 days,7
Josko Gvardiol,22/23,Groin problems,"Jun 11, 2023","Jul 7, 2023",26 days,2
Josko Gvardiol,22/23,Thigh problems,"May 6, 2023","May 13, 2023",7 days,1
Josko Gvardiol,21/22,Knee problems,"May 5, 2022","May 12, 2022",7 days,2
Josko Gvardiol,20/21,Muscle injury,"May 13, 2021","Jun 17, 2021",35 days,7
Josko Gvardiol,20/21,Muscle injury,"Mar 8, 2021","Mar 29, 2021",21 days,8
Nathan Aké,22/23,Hamstring injury,"May 7, 2023","May 27, 2023",20 days,5
